Symbol,Name,Sector,Industry
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors
USB,U.S. Bancorp,Financials,Banks
UTX,United Technologies Corporation,Industrials,Aerospace & Defense
V,Visa Inc,Information Technology,IT Services
VAR,"Varian Medical Systems, Inc.",Health Care,Health Care Equipment & Supplies
VFC,VF Corp,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
VIAB,"Viacom, Inc.",Consumer Discretionary,Media
VLO,Valero Energy Corporation,Energy,"Oil, Gas & Consumable Fuels"
VMC,Vulcan Materials Company,Materials,Construction Materials
VNO,Vornado Realty Trust,Financials,Real Estate Investment Trusts (REITs)
VRSK,"Verisk Analytics, Inc.",Industrials,Professional Services
VRSN,"Verisign, Inc.",Information Technology,Internet Software & Services
VRTX,Vertex Pharmaceuticals Incorporated,Health Care,Biotechnology
VTR,"Ventas, Inc.",Financials,Real Estate Investment Trusts (REITs)
VZ,Verizon Communications Inc.,Telecommunication Services,Diversified Telecommunication Services
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services
WBA,Walgreens Boots Alliance Inc,Consumer Staples,Food & Staples Retailing
WDC,Western Digital Corp,Information Technology,"Technology Hardware, Storage & Peripherals"
WEC,WEC Energy Group Inc,Utilities,Multi-Utilities
WFC,Wells Fargo & Co,Financials,Banks
WFM,"Whole Foods Market, Inc.",Consumer Staples,Food & Staples Retailing
WHR,Whirlpool Corporation,Consumer Discretionary,Household Durables
WLTW,Willis Towers Watson PLC,Financials,Insurance
WM,"Waste Management, Inc.",Industrials,Commercial Services & Supplies
WMB,Williams Companies Inc,Energy,"Oil, Gas & Consumable Fuels"
WMT,"Wal-Mart Stores, Inc.",Consumer Staples,Food & Staples Retailing
WRK,WestRock Co,Materials,Containers & Packaging
WU,The Western Union Company,Information Technology,IT Services
WY,Weyerhaeuser Co,Financials,Real Estate Investment Trusts (REITs)
WYN,Wyndham Worldwide Corporation,Consumer Discretionary,"Hotels, Restaurants & Leisure"
WYNN,"Wynn Resorts, Limited",Consumer Discretionary,"Hotels, Restaurants & Leisure"
XEC,Cimarex Energy Co,Energy,"Oil, Gas & Consumable Fuels"
XEL,Xcel Energy Inc,Utilities,Electric Utilities
XL,XL Group plc,Financials,Insurance
XLNX,"Xilinx, Inc.",Information Technology,Semiconductors & Semiconductor Equipment
XOM,Exxon Mobil Corporation,Energy,"Oil, Gas & Consumable Fuels"
XRAY,DENTSPLY SIRONA Inc,Health Care,Health Care Equipment & Supplies
XRX,Xerox Corp,Information Technology,IT Services
XYL,Xylem Inc,Industrials,Machinery
YHOO,Yahoo! Inc.,Information Technology,Internet Software & Services
YUM,"Yum! Brands, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure"
ZBH,Zimmer Biomet Holdings Inc,Health Care,Health Care Equipment & Supplies
ZION,Zions Bancorporation,Financials,Banks
ZTS,Zoetis Inc,Health Care,Pharmaceuticals
